Date,Open,High,Low,Close,Adj Close,Volume
2006-05-04,258.500000,280.500000,258.500000,269.787506,208.608459,18032100
2006-05-05,270.500000,277.250000,270.500000,274.875000,212.542252,6536944
2006-05-08,275.250000,292.450012,275.250000,288.912506,223.396500,11348304
2006-05-09,290.674988,292.250000,283.837494,288.737488,223.261154,8793332
2006-05-10,288.500000,298.750000,284.637512,292.524994,226.189819,9524800
2006-05-11,297.350006,297.350006,274.625000,277.125000,214.282043,21427304
2006-05-12,277.187500,277.187500,264.387512,266.737488,206.250076,12170952
2006-05-15,265.000000,267.500000,253.000000,255.287506,197.396545,14864220
2006-05-16,254.250000,263.000000,244.050003,260.825012,201.678375,18330824
2006-05-17,264.975006,272.975006,262.500000,271.774994,210.145233,6593604
2006-05-18,269.750000,270.000000,248.750000,251.175003,194.216629,12668308
2006-05-19,252.750000,262.750000,240.000000,244.137497,188.775055,20447692
2006-05-22,247.250000,248.675003,201.500000,232.899994,180.085831,19103364
2006-05-23,232.750000,245.237503,230.524994,242.274994,187.334854,13065732
2006-05-24,242.250000,243.000000,234.000000,234.625000,181.419662,11799296
2006-05-25,235.000000,239.975006,231.250000,237.112503,183.343079,9971480
2006-05-26,237.000000,247.824997,237.000000,239.399994,185.111816,10636344
2006-05-29,239.250000,244.500000,237.787506,239.137497,184.908859,5550836
2006-05-30,239.000000,244.149994,236.375000,238.787506,184.638229,5396284
2006-05-31,236.425003,240.574997,229.649994,238.312500,184.270935,12999196
2006-06-01,238.250000,242.250000,231.250000,231.350006,186.722488,10412904
2006-06-02,231.250000,240.412506,231.250000,239.337494,193.169220,9484532
2006-06-05,239.750000,242.750000,231.262497,231.399994,186.762863,10102676
2006-06-06,228.750000,231.274994,225.000000,226.662506,182.939240,12577060
2006-06-07,226.750000,230.000000,219.524994,222.912506,179.912598,16046052
2006-06-08,222.250000,223.087494,202.500000,206.312500,166.514771,17911852
2006-06-09,206.225006,232.500000,204.649994,230.524994,186.056641,26620756
2006-06-12,230.000000,233.612503,223.187500,225.699997,182.162399,11914080
2006-06-13,221.250000,222.250000,212.750000,214.687500,173.274216,12588556
2006-06-14,214.500000,223.250000,210.662506,214.837494,173.395264,13030728
2006-06-15,218.750000,225.000000,218.024994,223.800003,180.628922,10163864
2006-06-16,225.000000,236.000000,225.000000,230.199997,185.794357,11288192
2006-06-19,231.024994,234.937500,229.712494,233.287506,188.286285,7773680
2006-06-20,233.750000,234.250000,229.000000,230.987503,186.429962,6897344
2006-06-21,231.250000,242.199997,229.250000,241.024994,194.531219,10596200
2006-06-22,243.250000,248.487503,241.750000,243.475006,196.508606,8418728
2006-06-23,243.750000,254.500000,238.000000,252.987503,204.186111,11476392
2006-06-26,252.000000,255.937500,244.250000,245.300003,197.981552,13056432
2006-06-27,245.250000,252.737503,244.937500,246.387497,198.859299,22917396
2006-06-28,243.750000,251.600006,242.625000,250.199997,201.936340,17666036
2006-06-29,253.250000,257.500000,250.824997,252.300003,203.631271,10168104
2006-06-30,256.250000,265.500000,256.250000,264.687500,213.629196,8623868
2006-07-03,264.500000,270.000000,263.500000,267.750000,216.100967,8329512
2006-07-04,268.000000,270.700012,266.812500,268.237488,216.494385,4688504
2006-07-05,267.500000,274.975006,265.649994,273.799988,220.983887,6742960
2006-07-06,270.000000,272.725006,268.024994,270.524994,218.340637,8321364
2006-07-07,270.487488,273.500000,256.500000,257.962494,208.201462,9080816
2006-07-10,255.000000,262.450012,255.000000,260.799988,210.491608,8253900
2006-07-11,262.100006,263.100006,258.899994,262.075012,211.520645,6379052
2006-07-12,260.000000,275.000000,258.000000,274.587494,221.619492,13326280
2006-07-13,273.000000,274.250000,267.524994,268.774994,216.928223,7405800
2006-07-14,266.250000,268.500000,262.774994,266.287506,214.920563,6947256
2006-07-17,265.500000,267.000000,256.750000,257.875000,208.130829,6476568
2006-07-18,258.500000,259.987488,247.312500,251.074997,202.642548,13192632
2006-07-19,253.750000,255.000000,244.125000,245.524994,198.163132,11937648
2006-07-20,250.250000,252.487503,246.300003,248.925003,200.907303,13853108
2006-07-21,248.725006,248.725006,239.000000,241.887497,195.227310,12777896
2006-07-24,241.750000,243.750000,235.412506,243.024994,196.145386,10096368
2006-07-25,245.500000,247.962494,244.250000,246.824997,199.212372,6396340
2006-07-26,247.537506,251.199997,245.500000,250.112503,201.865738,5806268
2006-07-27,250.000000,253.762497,247.287506,249.637497,201.482330,6653172
2006-07-28,249.500000,251.000000,243.750000,245.037506,197.769699,6939100
2006-07-31,245.000000,249.375000,244.287506,244.750000,197.537659,5257112
2006-08-01,244.737503,247.699997,243.774994,245.487503,198.132874,6824596
2006-08-02,245.250000,248.125000,244.800003,247.475006,199.737015,6922772
2006-08-03,247.824997,251.862503,245.762497,247.050003,199.393997,8010372
2006-08-04,247.000000,249.875000,240.750000,241.850006,195.197067,9973844
2006-08-07,241.500000,242.149994,238.250000,238.750000,192.695084,5195792
2006-08-08,235.000000,244.750000,235.000000,244.362503,197.224899,5076812
2006-08-09,243.774994,249.000000,242.000000,246.600006,199.030792,5967980
2006-08-10,246.487503,247.675003,241.762497,245.000000,197.739426,5062236
2006-08-11,243.774994,253.750000,243.750000,252.774994,204.014633,9519076
2006-08-14,252.750000,257.750000,252.750000,257.262512,207.636505,4580152
2006-08-16,257.250000,263.424988,257.250000,261.250000,210.854797,4927536
2006-08-17,261.237488,268.375000,259.500000,266.350006,214.971039,9136912
2006-08-18,266.000000,267.500000,262.375000,263.875000,212.973419,5295916
2006-08-21,263.674988,268.250000,261.250000,267.000000,215.495605,4070428
2006-08-22,270.750000,271.200012,264.274994,266.212494,214.860031,5001140
2006-08-23,264.750000,268.462494,264.012512,265.437500,214.234528,4706036
2006-08-24,264.424988,280.500000,263.750000,276.637512,223.274033,11109256
2006-08-25,280.274994,281.225006,275.500000,277.625000,224.071091,8112356
2006-08-28,277.500000,281.024994,277.024994,280.512512,226.401581,3058512
